Blabla,Something
168546,11151
361047,6289
416677,10202
388808,11097
308537,7073
501628,4430
607331,0
551178,0
390368,0
689644,5910
29852,7127
315307,5668
396868,0
468184,5183
333964,9969
436465,9989
175142,4027
503398,3925
189087,5457
279846,4329
215599,2337
518167,7922
63911,3101
231715,12233
232019,4163
407215,4806
458616,0
599472,4874
136096,3715
482608,6347
696753,0
73179,6372
174241,4497
583078,4672
663433,10275
318820,0
515576,3892
366228,4481
592235,8185
378976,3794
291560,6318
74404,14017
446185,4717
700356,3575
118386,6956
131520,4025
49545,5702
169949,8318
66403,7557
611066,8885
141467,5879
486435,8194
43867,6073
159641,3940
317879,5910
687075,5202
214813,3458
557751,2688
271237,3913
435790,11384
519658,10557
54048,6366
342664,0
171563,5097
407029,5761
658738,3250
337600,5977
44269,5647
427048,0
595753,9191
24923,7902
481077,4045
13846,7557
470040,0
239466,8316
155188,0
259903,4395
315160,0
99732,3831
451069,6399
618700,6528
374674,0
193400,7373
26913,5902
143250,0
640542,3942
201124,6973
350313,3395
532594,4188
118743,6706
25797,6610
15882,0
427693,4830
408789,6135
91041,6699
376944,0
320431,5869
440029,5732
271557,3970
87936,7627
122572,11226
550931,6214
271708,7128
689986,4855
27397,0
135400,0
694710,10161
179102,11468
665789,16841
540739,6975
557791,0
697839,4126
411831,8413
547273,10240
294209,7517
615470,2567
288957,0
279759,9427
660018,8432
38277,4458
504168,12527
684183,4397
81671,0
490129,5859
538646,6717
419637,0
256443,4536
554828,0
456852,4767
96751,4982
291048,3190
510719,4179
547499,14972
227238,8667
489127,7317
551272,6146
576396,0
308831,7715
174406,12656
590884,5517
267484,10422
174109,8631
557113,7121
29951,9483
31,6481
167050,0
7166,8670
679119,2497
433136,8647
516013,2442
187053,3868
605843,11403
574000,5518
295998,4027
1372,6423
584012,0
672313,7755
526357,8965
136756,8177
35039,0
417159,6963
341234,0
264648,8626
139463,4920
160181,9381
145242,7278
508351,5858
430833,0
496873,5699
88637,0
336317,9602
562482,5676
17856,8007
571802,3930
322136,12239
524935,7393
480055,5755
593875,0
153896,5196
707516,3507
239739,4046
294191,7989
157846,3865
595352,5620
544097,2006
246637,5399
391335,7338
21270,0
150565,4387
654771,0
38684,6185
665748,8255
217343,5647
304709,0
651671,0
99456,0
622038,9200
153097,8620
120672,5197
533569,6378
469361,0
686227,9479
646239,5313
305798,2683
254880,9405
66094,0
285005,6800
652101,4632
400956,0
554767,4722
347537,6007
161138,11761
625401,0
153209,0
45133,0
461993,8029
403703,3955
220738,4067
272981,4541
369410,15479
567922,3811
507183,7440
497421,13571
492762,10326
246527,8465
146589,15531
473138,9612
101966,10047
92115,3279
255639,10555
523678,0
625864,0
83905,6479
430864,0
39513,7889
8713,6631
387519,6212
429743,3800
54562,6479
82535,5559
585388,6924
105187,5935
590090,6609
297296,5041
583724,2928
560238,0
655989,0
355455,3737
521482,13161
363995,4895
710073,1936
65698,6526
257083,10644
116680,12062
379568,6613
387515,0
655644,7205
303275,15032
551067,4588
396340,4910
622004,0
708779,0
280082,8261
499075,7267
696271,9408
80518,10370
200611,6535
537553,3563
215540,2686
98507,4033
529400,10271
427986,6081
667089,3711
203670,3721
209501,13270
349285,4562
52724,5558
158124,6961
119674,6294
578742,7235
596927,6351
588115,0
217043,4034
701954,5782
414991,5330
411093,5972
687483,4406
492572,4540
85562,7877
618972,7881
223212,5158
466772,5335
614733,11703
49384,9570
502660,14843
189210,4582
537688,4995
260835,3734
229004,6419
59129,13176
402209,4582
494703,4504
300934,9427
642031,6507
269594,5110
218179,7478
66443,0
305517,4761
708975,5434
90704,6202
176181,5267
684627,3550
364608,10043
4388,7478
390807,10332
376589,9410
243197,5853
433382,0
310423,5755
573966,6529
41062,7675
152866,3611
293959,4924
521153,7946
513858,8992
437856,0
582121,8771
365218,4541
490147,10040
475727,7072
545360,5116
70556,0
400962,10035
7428,5265
586471,3442
626201,5122
294127,4593
342930,5867
598452,6337
460486,6950
124623,7889
482097,0
654614,7524
4642,6070
594444,5156
511446,6011
205387,7044
74591,4584
121355,8277
531564,2948
466962,5586
179936,0
287953,4524
410969,6402
37396,10882
260067,7158
5875,2759
676628,0
335660,9981
527667,5260
529757,5206
492826,7133
244297,7307
69875,15946
488741,0
266440,9145
352417,6637
71976,0
462324,7910
496201,8025
372176,12007
300646,3848
296723,7535
129076,7993
465964,16397
574931,4560
596993,4108
34661,18564
351946,4659
77187,3628
164680,7906
556182,4765
692533,8622
601958,0
417568,7641
352584,6520
553150,3558
67914,8684
168017,10677
55786,13280
12122,5043
17617,8131
201193,6343
294352,0
488317,4395
33147,6833
618314,5608
300117,8568
709601,8363
594163,2654
368167,2598
293118,0
316546,7578
480049,0
418175,9574
181703,11266
578055,9137
498888,3647
29485,4955
412575,7194
441161,4528
697959,13288
456638,5428
687660,6186
403499,3755
369987,6691
154452,4137
113622,3090
670654,5811
538626,3587
335397,6232
504116,7392
300392,4138
309810,3781
17615,3020
197188,0
234486,4729
375534,6715
37568,6075
227000,8331
606514,10408
174813,0
409588,5794
470987,9517
327283,5022
49182,7669
595421,5154
291270,4581
64191,7939
507378,0
378304,6473
84104,4315
296097,4701
353581,7315
690722,10047
292870,3722
596913,7164
35990,11458
701246,5422
143765,14546
43679,7740
344456,11309
495123,20634
481795,4585
193671,0
75301,7771
511450,0
107317,5473
291762,4903
612637,0
424384,4663
211422,4123
340531,0
191825,7996
335384,8466
67516,6971
134601,0
451998,4435
632098,4096
73104,0
568369,6311
429616,9111
532738,6901
509264,5871
673757,7706
190481,3727
695562,5223
432007,13438
510874,0
351422,7334
659576,5716
69981,9657
142300,0
183172,9279
255199,3814
1940,5748
298787,12594
139423,4517
70407,8144
5053,5969
593158,4972
315045,0
331101,0
274361,0
503030,11793
32613,0
175493,0
148150,4743
678201,5163
606629,6124
358459,3384
325608,9249
246687,5580
644190,5539
7576,5103
325124,0
590088,8806
407691,5309
167439,2817
222285,10561
321782,0
519131,10240
695835,0
181225,10742
93380,7977
503328,8196
370950,0
341840,4846
464425,8664
277346,0
526273,0
568537,7124
117102,8007
245394,6614
42063,0
296165,8056
310212,2629
154792,8192
664038,0
707266,4956
351426,5524
500975,11417
657926,4488
62805,1984
317926,6819
238065,6666
170852,11682
645803,8730
134890,4899
126864,3902
521051,6472
119871,2204
63933,4486
53405,4712
157934,0
431856,11267
608541,4662
540607,0
225684,9742
679352,6431
403399,3155
44412,7339
427093,7619
101206,0
112573,4493
313868,10526
47383,2795
130725,5727
492454,11775
200833,7618
287055,7149
210451,5705
390640,3796
291830,0
395561,6145
163482,13688
101439,8681
40964,4832
270472,4953
279203,6739
112658,9045
595959,5700
214908,9120
676246,6057
90241,0
486260,5270
306313,14904
568312,0
624680,10938
345172,5198
55259,9731
37858,8204
665968,7946
131226,6938
636034,7372
532604,3703
364243,4911
368442,6563
175078,8376
575905,5304
502370,3945
126251,0
271922,5649
439672,4976
311476,12071
52304,6343
165624,12188
368214,4246
9702,0
354420,5538
65747,4050
670761,3173
261640,8376
610504,13613
542050,9117
209891,0
639284,6940
103835,8195
702393,6778
216722,3204
233640,7810
236656,3502
289678,0
323633,0
366116,0
614818,3611
43278,17336
379128,6043
658611,10750
54592,6915
212048,5939
168634,0
340673,3950
280902,5751
691450,3673
85187,0
442539,0
148750,19371
184027,5939
157939,7470
304568,3974
554068,4439
314000,5457
522332,6534
493628,4398
418771,6821
497382,11423
673099,9596
20535,6491
639648,4093
356703,7168
170702,0
249326,0
660165,2532
629418,4609
128454,4183
348925,7094
305227,4227
402749,8332
468037,5949
655081,5291
695532,5819
373857,9089
376055,5755
609628,0
552840,5525
191426,5314
201602,3497
300060,6777
126574,7109
144484,4649
352657,7748
296361,0
76459,0
476733,4721
378163,7074
699701,3973
430906,0
134443,4323
415805,4295
338055,8608
61499,6296
696348,6275
630309,4409
225206,8549
55748,2306
306902,3298
423100,8736
105434,0
614320,6749
197342,5560
106538,7456
141807,0
269264,1578
707682,4553
107116,10434
359035,5619
717,6031
572954,4411
408522,9154
368485,4756
661641,5105
648088,0
607332,3945
633400,0
54548,4907
101486,6266
541882,10435
607816,4176
546709,3973
107832,5072
543544,3251
488692,3375
86503,0
656621,5902
600750,16609
322791,2493
422821,10032
126893,14105
570246,4552
208618,4622
602034,5268
54107,3361
326741,0
205854,5402
577470,0
48669,7478
237583,10380
248729,15670
498702,0
123748,13192
217902,0
641800,5361
154263,0
664203,3731
461911,13489
52821,8048
50933,0
644696,8966
515574,4558
698285,0
369890,6636
427678,0
286879,3089
423686,7071
337571,3439
588762,0
411062,0
72948,2335
250940,4918
367549,4913
363317,0
368998,3558
393993,9081
416818,0
653454,9237
523156,5158
480393,12604
562044,9266
710814,7056
620550,0
461702,9865
625,4914
219786,8150
476018,12434
409598,4134
379578,6932
270405,6404
692788,0
381450,0
584960,9527
57300,7885
580285,4620
286368,4706
119137,0
322349,0
280529,7864
413908,0
284748,0
548094,7109
479000,14379
697689,20714
298677,8204
228295,4434
597399,5575
582329,14136
312690,8403
135127,4956
556897,7464
333109,10896
341344,4380
206204,6823
554662,15919
229229,0
467525,15914
325463,7448
362553,7827
127124,4637
335223,0
21773,14781
341869,5918
709946,0
38205,0
269229,3934
408084,9091
412436,7217
303601,6221
526623,7132
46462,5064
406887,7309
370262,5611
647068,4389
431434,14541
558633,8350
289000,10249
491339,15368
367989,4428
276547,3739
581870,5509
342009,8608
213490,7721
471524,10446
556136,0
277888,0
150688,9820
165780,5207
348230,6747
590564,5170
668135,0
390391,9283
600328,6872
436199,5910
220791,3989
571195,0
395006,0
592620,5432
272988,7445
427397,0
94315,4467
617386,10034
305667,5817
153194,0
378545,4790
347245,5379
693529,0
24857,6450
107420,12893
298780,2993
195479,3405
330143,5440
79381,19461
239688,0
197879,8163
64407,5532
661145,7421
662921,7150
498010,4481
105516,8267
284317,5886
373710,8446
598565,9905
516770,3230
134855,2048
379561,0
238597,4157
192244,7856
710798,0
469104,5469
20179,3973
538562,5583
674517,6537
554608,3548
52582,4530
243887,6029
275689,4834
31932,6101
399262,9501
662843,0
7711,8190
620410,6085
672524,0
871,0
635498,7321
57800,0
479867,4877
477357,9094
301839,7372
344758,2154
451312,4615
183086,6942
98846,13209
625641,6961
258989,12114
548018,2175
402780,0
328050,6707
154460,0
242653,3513
163516,0
676780,6806
256398,3603
511588,6026
84125,5153
381529,6160
214,0
678972,3444
390453,0
550941,4789
122312,5510
704983,4864
632601,0
591121,5632
602153,13383
238489,0
688727,0
517728,3270
646795,3343
369709,4693
664674,4398
643480,0
281863,0
316648,0
512033,5492
277772,4166
348649,8358
128174,1853
275252,5797
258870,6618
285419,5668
579511,6627
698621,9650
97283,4210
239686,6328
185208,16306
707543,0
94758,0
294949,9384
224713,5558
680333,0
197777,2739
199295,0
583961,7684
264906,9618
131257,0
298213,0
480277,2831
434355,19169
334938,0
377540,4539
222795,4478
685569,6949
632011,2883
36831,5425
508644,5044
144786,0
544817,0
234927,6873
71014,3418
597831,4016
280,9229
11999,3761
474721,9154
459152,8371
572424,10181
366099,7900
674054,15510
522899,8970
27579,6150
485431,8047
69826,5100
466091,23256
440052,11138
121407,13384
673811,5583
701395,1168
448881,8622
215731,5310
287569,0
409444,5486
151851,7739
68003,8436
108376,6071
437633,4060
163899,7532
599947,2841
132338,0
202138,0
357610,6721
495729,6234
207166,0
300218,4400
317393,5880
268820,6576
700194,4152
352835,7474
691529,5411
564607,0
192323,6713
139954,6276
192221,10945
119021,2858
351743,0
289963,5401
231875,3191
666989,8460
679381,5061
703871,7722
11673,15562
104727,0
446773,9086
623762,6537
22109,11456
348299,19048
704460,4256
269,7459
429936,7721
172754,5461
603210,0
84245,7058
542195,4244
431063,4812
65598,5348
114890,3801
354374,8941
90445,3946
415407,4209
263308,8849
413286,3920
103773,8265
322321,8750
444867,2777
125344,7696
557678,4507
546158,6649
40426,4488
351936,7453
185014,0
34598,6407
353479,5850
429877,0
256437,5142
610274,0
356466,7712
685820,4939
506798,0
206688,6872
662479,7367
30829,5201
403491,13024
638757,5362
394397,9610
428262,7339
54578,4916
627234,4769
378061,9471
553782,6393
707055,12950
550810,4472
643250,8011
45820,9168
501949,5121
696721,4415
639934,3345
678636,8469
217001,11521
183576,3801
603339,9910
34503,8912
102226,7575
35222,6434
686333,6782
623869,9993
126682,6945
543775,10864
247448,0
146028,5741
449413,4874
431165,5173
335663,6741
34208,6352
543888,0
216486,0
300234,4885
192200,7836
502664,6432
417215,8889
168477,4346
97029,5211
274538,12744
299168,4620
241671,17437
121337,18053
60588,15916
519922,0
680632,10710
635796,9215
574560,4302
580011,10287
376504,7176
668241,4025
609972,0
560495,0
687564,1620
44896,4677
156468,3869
648339,9698
169260,5034
225498,10127
647783,5420
389602,0
307571,4748
652298,0
166016,6975
508449,0
392733,5398
47823,0
337468,3840
567406,8202
171033,4196
143315,2528
629862,4466
142387,0
446885,5171
375838,3624
12496,5505
426571,0
604414,2986
428604,4287
250876,0
74435,8087
239848,4356
153932,5657
188646,6260
642880,0
200042,0
273910,5022
469260,0
652464,3994
425128,5729
125306,4247
546451,2915
197922,3409
400495,9793
443172,7100
161736,0
67601,0
147664,5329
580105,8923
311179,12698
664761,5296
145734,6559
414235,10696
52726,6294
674743,5413
11407,4146
140312,3636
449942,6202
6947,2643
218396,9594
189663,6352
630375,2692
498240,3797
453556,8448
74032,5790
3694,0
38525,7580
239174,11681
159328,7869
12135,7713
398566,5254
664304,9385
674652,4726
488146,0
140368,10017
229737,3999
248055,0
642501,5802
394307,7290
143757,3662
424251,0
67735,0
96028,5411
692379,0
326223,7135
500566,4702
553689,0
477374,0
390814,10987
188896,8483
674245,7284
592939,8788
596614,3262
38759,10318
132760,9488
378746,5436
676864,0
120219,13882
446712,0
240411,6084
704958,0
373919,5981
198747,0
445273,4999
349546,6908
231407,5701
267493,6852
278222,6614
572690,6167
464202,0
124387,6525
469717,7491
584251,0
309108,6387
579391,6760
515318,4773
179445,0
613339,5945
169907,5289
502377,3865
187322,0
407319,6628
601914,7370
152323,5150
163885,16100
592167,7146
558725,9394
545541,2683
193382,13615
189280,0
583719,2341
141976,8266
285466,9671
164181,4577
609670,5518
375562,0
872,12451
265411,0
591374,7362
531500,10375
577739,4515
673562,0
395892,5616
74520,5665
426502,5126
23041,4012
94865,7438
490891,7980
211296,6389
224686,0
676807,0
635378,5734
15242,0
711393,6150
658095,6939
125450,5926
326088,4467
610648,3867
549251,8028
449425,17066
675787,19688
38270,4939
447653,0
270966,6464
609047,3550
427445,4201
94755,0
681146,8072
546648,5029
290273,5352
173434,5296
148232,8148
89158,7492
169957,5840
147518,5966
118406,7693
369630,0
506761,10048
460508,6944
13258,5804
46546,5582
560746,8046
553905,8036
582451,0
257068,3105
510669,8782
508936,0
89420,16671
194852,5742
116338,5756
302754,6916
194501,13526
547018,5337
210278,5724
547102,5027
702838,0
491830,4747
553149,4652
660643,7212
352124,8767
565485,5762
309877,0
197123,5163
352054,5823
462509,5678
372441,7469
703575,6872
354029,6656
443663,8267
247559,4022
545268,0
619085,5376
626616,8759
412438,0
106992,0
191008,0
9811,5979
161402,6861
11578,0
251953,7818
593802,4685
378501,6436
256299,5242
393454,5301
312802,3175
159140,4639
318945,6068
646627,0
18644,5421
347910,4670
243903,6954
260882,8641
458348,5583
61514,7063
364573,6607
92504,3742
19599,4595
589391,0
88870,3702
581727,4687
330815,9556
649573,5716
152789,11881
680808,7866
349958,3748
42874,4242
329067,7795
226136,6612
440941,5375
72617,5985
413002,5678
44984,6675
115136,4276
559222,4738
366839,2974
453977,8490
249435,5411
709311,0
518621,0
359803,3846
495125,6835
152945,0
353940,11736
174413,6305
259449,0
669219,4641
467593,0
344860,10704
447362,4752
169126,1344
119281,3725
573321,4692
160301,6757
194167,8217
449114,10804
658047,4983
369146,15809
665654,5125
500686,6547
146914,9619
180303,6975
477789,4633
690575,7761
663470,4547
156923,4744
668350,3491
4844,8196
620070,4269
533667,6028
254709,10585
308642,7011
96571,9087
622099,6993
202374,6141
229421,7971
636786,0
626502,7803
331182,4506
152413,10451
410070,9262
207305,0
217472,3963
475361,5047
101012,6222
154176,9462
151656,12792
74037,0
60736,5307
478399,8970
462515,4132
236331,0
522009,7887
647163,0
312258,0
269217,6739
274210,5089
24315,0
276354,0
351467,9218
42659,4759
448527,2498
62318,5761
95607,0
41053,5835
277662,0
464777,4483
366092,3213
338680,3728
182512,13693
312573,6236
360628,13854
680795,18126
515110,4269
346959,7244
464650,0
537667,4001
555619,0
55408,6454
214529,3865
272695,0
73995,5671
612062,3610
470769,0
320553,0
76938,2091
689316,3238
196937,14185
29475,8371
337285,20413
404505,8836
329045,9709
447957,6695
388476,6055
695972,6480
634147,9575
609140,10755
394100,4082
195695,0
70724,10352
282450,6148
250,5925
711892,4779
254287,3523
205938,3970
150697,7026
296291,5806
219664,4055
614301,0
241447,0
186807,5640
82203,8284
293858,7299
26861,0
695519,4190
581611,4078
452095,7448
531157,4848
611147,5577
499922,0
52690,12651
578845,0
337481,5669
223339,4871
380039,10003
353294,7079
107443,14087
130564,0
302381,3471
261628,11691
259964,5898
102379,8039
466200,0
619073,7780
169205,21293
191790,5862
628141,6681
77845,7950
426836,8055
374939,0
324024,4504
144084,7238
28099,4702
141512,14213
281233,6456
201378,4697
82296,7860
129618,5893
432255,6191
492430,9042
232346,5034
398555,4319
159981,7721
542031,7039
283287,6041
536275,5803
13671,7114
190379,6558
380424,5337
161410,6238
90870,8163
671304,2757
673605,8846
679085,13034
557014,6442
78252,3926
709105,4934
617205,16943
459847,6404
627049,4772
81023,7884
507608,5021
409069,9546
230470,6044
137769,3521
345537,6862
568719,8230
597625,4919
392641,0
120977,13493
284697,0
271647,9263
190125,7251
542307,7368
525946,4740
597052,11397
141258,6427
427173,7527
661405,7508
459558,15672
309593,8451
459437,8496
340594,6359
226571,6797
396445,5246
77764,8459
351532,5839
651906,3787
328733,0
311001,0
4031,6903
707706,10716
570014,8738
223991,8904
78638,0
340476,9283
433995,4149
329963,4882
445393,0
284667,0
175322,4931
74297,6858
522531,0
116039,2391
264442,12283
574273,6612
531954,12048
540785,18148
13873,5876
577372,5028
41197,4391
512160,10553
121753,8041
676470,9080
515068,8681
495286,13415
430497,8522
696919,0
161447,9085
254999,6920
403002,10265
315379,9309
182260,4913
127181,7050
596433,8586
694155,7773
378912,5558
578018,7366
318567,8967
648481,4854
341773,2388
145701,10332
530357,7080
226147,12221
134885,6501
422774,10594
195436,5858
416123,10174
300161,0
124669,5348
224720,6017
638283,11889
474246,8478
600197,0
219285,11732
439910,12751
658194,10710
460677,7210
645176,9544
268128,6797
110435,0
513956,8040
131298,7236
77739,5015
308660,0
106867,3299
477155,0
370296,0
653552,6321
439053,8001
460122,5319
62936,7969
64727,0
290161,6298
169971,5922
471979,7793
439186,0
609382,6208
646467,4162
73521,4493
367427,8070
190528,11875
470135,6659
242480,11776
518220,5812
658874,0
299151,0
535795,6750
600097,0
59494,4978
288995,5762
178629,3626
705636,0
350474,5849
552367,6787
89631,7122
25149,2251
261985,5957
298938,5794
666433,4949
67900,0
295869,5095
147021,0
285112,5346
139257,10740
304956,7074
238746,3300
707253,10300
123184,4063
236818,3570
679574,17893
451061,7379
276687,3054
62608,19814
321729,5939
271,7831
333119,10095
283222,5754
625091,10292
639585,0
385192,0
461730,4256
303919,0
333472,5813
325099,7587
399464,3779
538203,4039
319062,7073
620577,4469
25495,0
360469,4614
84793,6761
700168,11627
358864,5329
326491,9018
319789,4468
623046,5031
702771,13772
228397,6931
543640,0
494215,8002
377691,4969
569051,0
162351,3901
501154,5718
658391,7205
321368,0
483337,11488
493453,2367
28954,10541
252197,5444
692965,3507
451383,7176
350114,8276
456601,7483
607164,6110
182577,5218
135246,0
642213,6970
439953,6185
386225,4732
128557,9143
20144,4244
305029,6449
468196,0
274761,8579
51214,0
54004,0
375513,4491
567719,7254
292537,7563
451016,8353
347254,5892
655624,5717
374138,7299
191754,3538
682037,0
373068,6775
475390,6450
619484,6654
323476,5021
643101,10751
67543,5528
451231,9234
24559,3817
85918,4181
695391,6805
305842,4586
179199,0
96141,7832
392918,9883
463381,5053
653086,8286
307585,6003
463429,5610
281271,6173
610495,5560
74586,8677
6253,4043
518025,12757
541466,19769
56114,0
78317,0
375944,11713
281583,8225
621643,6651
397969,5484
170500,7026
344763,0
340963,4751
298215,0
243459,0
252547,12795
352602,5587
457801,5278
497636,7413
606734,7255
390210,9140
702764,4345
470102,0
536917,6999
11066,6407
408121,8104
550100,12166
371472,3944
494607,2197
31976,0
365835,3259
44718,5373
463013,0
141115,5548
479944,0
376248,6552
556021,8317
520595,13258
605619,7195
27059,5793
788,0
297094,11922
119600,0
594450,0
231837,9392
360137,7590
142555,8695
424998,8508
608882,7233
473558,5503
441691,12883
259988,9087
291602,7068
108675,7547
97107,2638
160954,9553
95742,0
516131,10023
406917,0
482575,3022
493337,7145
184938,12919
104153,0
28674,3964
615326,7103
34936,0
564303,4822
13524,0
45329,6217
496700,0
90475,2288
216141,0
614367,9677
668860,8836
569131,4848
500790,5918
96652,4481
218759,4792
224561,4886
272256,6321
664021,5441
265792,6219
156128,5289
352595,5324
224557,8737
104145,9610
481727,9111
138167,7677
308388,4069
439063,4593
435684,3272
592110,5937
635568,5489
361428,9256
37956,7173
450117,2496
137605,6877
394902,0
548178,7442
487004,9001
212517,7796
52604,13056
64422,6129
307713,5918
71838,4601
66500,5361
90519,5737
489347,4283
327063,14471
204821,0
66563,0
619353,7062
69367,7655
689128,8185
703025,10999
204890,3666
348709,13257
275798,6912
709445,5164
450370,5369
16499,0
254098,7565
40811,11786
237819,8066
73271,4349
586847,0
484993,10515
283193,3470
709090,0
304478,3943
709123,9324
605480,1515
132084,10242
146924,6565
569561,5380
700529,0
268534,3199
417987,0
160358,13940
216140,7389
645737,11307
262687,5290
632816,6643
692566,5030
614134,6069
152305,6299
522263,5406
105302,0
391275,9266
177506,6457
670765,7266
317082,13595
229313,12002
34181,7034
296668,6065
498942,0
262675,10214
515638,4675
346279,7967
469794,5716
504817,4298
417637,8060
519764,9667
654785,5129
345463,12559
631941,8501
372043,5847
356042,7156
612235,5384
265217,6063
592528,5212
96436,3959
337209,0
17289,9493
29502,0
198186,4546
265357,11431
116577,9150
597243,0
57503,0
576341,7362
32393,10835
531085,7543
470998,0
615920,12174
164628,6613
682277,0
541015,6134
185427,4740
550094,0
413128,4847
505236,6613
531998,7324
646186,7217
450101,10972
375936,5073
115221,0
299112,4211
59317,8207
309859,0
560213,3385
256614,2625
473967,9500
290805,5872
487286,5781
355902,5137
128236,3716
370247,6157
361461,12134
704099,9837
706826,7395
279864,0
498392,6452
531653,3295
651356,5934
163103,0
363225,0
246767,8188
151808,5509
337521,8880
674864,2987
416604,11155
226890,2779
138394,8288
572006,0
148478,6931
160194,5041
695700,4707
314711,11796
586337,6001
188945,5624
563301,13118
198851,7881
346025,4206
326013,9877
645187,6403
480546,4581
424105,4664
531259,6700
349231,4900
341293,7025
27821,10090
607811,7372
214351,5319
225041,10087
308376,7005
588306,12658
223509,3561
392243,4843
176980,0
360997,3981
271589,5649
297293,0
354919,8773
228115,6663
540423,6075
313057,4210
696734,6863
593525,3761
524725,6003
25705,5852
630688,6001
351907,6093
62653,10215
502683,3720
565321,0
676572,9345
383691,6645
44194,0
610917,5195
208178,3980
132865,3188
631274,12141
72445,12409
634137,8238
404633,6738
369197,5557
117602,3795
89238,7851
403953,6268
419268,13138
471115,0
700268,5423
207633,0
573028,3420
546388,0
198087,0
559687,7302
273865,5287
364764,4516
567173,9693
563418,5223
208314,6203
340773,5887
353019,18728
419654,4422
107401,0
160351,5733
711996,5631
125607,7078
50879,6270
297280,4975
101241,4691
354637,6116
441159,4252
100456,5515
663440,5859
618259,9169
482410,16756
229161,8913
645761,5069
362024,10427
566462,3009
313433,6332
141967,5218
99662,3541
175030,4892
155413,0
481597,11713
664263,0
619410,11886
437569,12870
633152,9556
537643,0
402415,4822
138512,9220
344252,8252
348736,0
479750,4510
179183,8307
97826,0
661532,0
610383,0
431241,9590
214358,5261
290997,3476
382756,5004
619871,6314
694123,10741
462311,4694
380030,5400
339259,3640
504080,1524
241772,8036
233459,7954
553574,7973
525276,3536
228474,0
